date,area_code,market,market_size,inventory,Cost Price of Goods,Selling Price,Gross profit,Marketing budget to sell the Products,operational cost on product,Net profit,total_expenses,Total Product Sold,product_line,product_type,product,state,target_cogs,target_margin,target_profit,target_sales,type,difference_between_actual_and_target_profit
2013-12-01T00:00:00,225,South,Small Market,-1053,55,131,76,49,31,-4,79,140,Beans,Espresso,Caffe Latte,Louisiana,40,60,0,100,Regular,-4
2012-12-01T00:00:00,225,South,Small Market,466,43,106,63,13,23,27,36,106,Beans,Espresso,Decaf Espresso,Louisiana,30,50,20,80,Decaf,7
2013-12-01T00:00:00,225,South,Small Market,320,41,107,66,12,8,46,35,114,Beans,Espresso,Caffe Mocha,Louisiana,30,50,20,80,Regular,26
2013-10-01T00:00:00,225,South,Small Market,329,60,159,99,18,-5,86,41,169,Beans,Espresso,Caffe Mocha,Louisiana,30,70,70,100,Regular,16
2012-11-01T00:00:00,225,South,Small Market,834,47,115,68,13,11,44,24,115,Beans,Coffee,Colombian,Louisiana,50,80,60,130,Regular,-16
2012-10-01T00:00:00,225,South,Small Market,851,48,118,70,13,12,45,25,118,Beans,Coffee,Decaf Irish Cream,Louisiana,70,90,80,160,Decaf,-35
2012-10-01T00:00:00,225,South,Small Market,829,48,119,71,13,11,47,24,119,Beans,Coffee,Colombian,Louisiana,70,90,80,160,Regular,-33
2012-10-01T00:00:00,225,South,Small Market,564,103,236,133,33,13,87,46,236,Leaves,Herbal Tea,Chamomile,Louisiana,80,130,110,210,Decaf,-23
2012-12-01T00:00:00,225,South,Small Market,540,94,214,120,31,12,77,43,214,Leaves,Herbal Tea,Chamomile,Louisiana,80,110,70,190,Decaf,7
2013-10-01T00:00:00,225,South,Small Market,593,79,177,98,30,18,50,64,189,Leaves,Herbal Tea,Lemon,Louisiana,60,90,60,150,Decaf,-10
2013-10-01T00:00:00,234,Central,Major Market,503,51,122,71,46,32,-7,76,130,Beans,Coffee,Decaf Irish Cream,Ohio,40,70,30,110,Decaf,-37
2013-11-01T00:00:00,234,Central,Major Market,424,46,114,68,14,7,47,36,121,Beans,Coffee,Colombian,Ohio,40,70,40,110,Regular,7
2013-12-01T00:00:00,234,Central,Major Market,424,54,127,73,17,13,43,44,135,Beans,Coffee,Amaretto,Ohio,50,70,40,120,Regular,3
2013-11-01T00:00:00,234,Central,Major Market,411,59,138,79,19,11,49,46,147,Beans,Coffee,Amaretto,Ohio,50,80,50,130,Regular,-1
2012-10-01T00:00:00,234,Central,Major Market,788,82,205,123,27,31,65,58,205,Leaves,Tea,Darjeeling,Ohio,50,90,60,140,Regular,5
2013-11-01T00:00:00,234,Central,Major Market,1283,181,363,182,50,-27,159,75,387,Beans,Espresso,Caffe Mocha,Ohio,230,230,170,460,Regular,-11
2012-10-01T00:00:00,239,East,Major Market,547,86,202,116,28,28,60,56,202,Beans,Espresso,Decaf Espresso,Florida,70,110,90,180,Decaf,-30
2012-10-01T00:00:00,239,East,Major Market,683,96,230,134,87,29,18,116,230,Beans,Espresso,Caffe Mocha,Florida,80,130,50,210,Regular,-32
2013-11-01T00:00:00,253,West,Small Market,834,47,115,68,13,-10,65,24,123,Leaves,Herbal Tea,Lemon,Washington,40,60,40,100,Decaf,25
2013-12-01T00:00:00,253,West,Small Market,320,41,107,66,12,9,45,36,114,Leaves,Tea,Darjeeling,Washington,30,40,20,70,Regular,25
2013-12-01T00:00:00,253,West,Small Market,466,43,106,63,13,8,42,35,113,Leaves,Tea,Earl Grey,Washington,30,40,20,70,Regular,22
2012-10-01T00:00:00,253,West,Small Market,385,56,126,70,21,33,16,54,126,Beans,Espresso,Caffe Mocha,Washington,40,70,50,110,Regular,-34
2012-11-01T00:00:00,253,West,Small Market,570,22,52,30,7,12,11,19,52,Beans,Espresso,Caffe Latte,Washington,20,30,20,50,Regular,-9
2012-12-01T00:00:00,253,West,Small Market,567,24,56,32,7,12,13,19,56,Beans,Espresso,Caffe Latte,Washington,20,30,20,50,Regular,-7
2012-10-01T00:00:00,253,West,Small Market,1055,80,174,94,24,22,48,46,174,Beans,Espresso,Decaf Espresso,Washington,60,90,80,150,Decaf,-32
2012-11-01T00:00:00,253,West,Small Market,694,94,224,130,85,29,16,114,224,Beans,Coffee,Decaf Irish Cream,Washington,110,150,40,260,Decaf,-24
2012-12-01T00:00:00,253,West,Small Market,1079,80,176,96,24,21,51,45,176,Beans,Espresso,Decaf Espresso,Washington,70,100,60,170,Decaf,-9
2012-12-01T00:00:00,253,West,Small Market,461,72,176,104,23,23,58,46,176,Beans,Coffee,Colombian,Washington,80,120,80,200,Regular,-22
2013-11-01T00:00:00,253,West,Small Market,446,63,156,93,20,-1,74,43,166,Beans,Coffee,Colombian,Washington,70,110,70,180,Regular,4
2013-12-01T00:00:00,253,West,Small Market,1166,115,289,174,37,-19,156,69,308,Leaves,Herbal Tea,Chamomile,Washington,100,160,110,260,Decaf,46
2013-11-01T00:00:00,254,South,Major Market,589,50,123,73,14,-12,71,25,131,Beans,Espresso,Decaf Espresso,Texas,30,60,40,90,Decaf,31
2013-12-01T00:00:00,254,South,Major Market,959,123,302,179,34,-52,197,46,322,Beans,Espresso,Caffe Mocha,Texas,90,140,110,230,Regular,87
2012-10-01T00:00:00,262,Central,Small Market,851,48,118,70,13,12,45,25,118,Leaves,Herbal Tea,Lemon,Wisconsin,30,60,60,90,Decaf,-15
2012-11-01T00:00:00,262,Central,Small Market,391,54,121,67,20,33,14,53,121,Beans,Coffee,Amaretto,Wisconsin,50,60,20,110,Regular,-6
2013-10-01T00:00:00,262,Central,Small Market,851,48,118,70,13,-10,67,25,126,Leaves,Herbal Tea,Lemon,Wisconsin,30,60,60,90,Decaf,7
2013-11-01T00:00:00,262,Central,Small Market,391,54,121,67,20,26,21,53,129,Beans,Coffee,Amaretto,Wisconsin,50,60,20,110,Regular,1
2013-12-01T00:00:00,262,Central,Small Market,627,55,131,76,49,31,-4,79,140,Leaves,Tea,Earl Grey,Wisconsin,40,60,0,100,Regular,-4
2012-10-01T00:00:00,262,Central,Small Market,449,46,113,67,14,23,30,37,113,Leaves,Tea,Darjeeling,Wisconsin,20,50,40,70,Regular,-10
2012-11-01T00:00:00,262,Central,Small Market,856,31,78,47,8,12,27,20,78,Leaves,Herbal Tea,Lemon,Wisconsin,20,50,40,70,Decaf,-13
2012-11-01T00:00:00,262,Central,Small Market,454,49,120,71,15,23,33,38,120,Leaves,Tea,Darjeeling,Wisconsin,40,50,20,90,Regular,13
2012-12-01T00:00:00,262,Central,Small Market,466,43,106,63,13,22,28,35,106,Leaves,Tea,Darjeeling,Wisconsin,30,50,20,80,Regular,8
2013-10-01T00:00:00,262,Central,Small Market,573,22,51,29,7,7,15,19,54,Beans,Espresso,Decaf Espresso,Wisconsin,20,50,50,70,Decaf,-35
2013-10-01T00:00:00,262,Central,Small Market,449,46,113,67,14,8,45,37,120,Leaves,Tea,Darjeeling,Wisconsin,20,50,40,70,Regular,5
2013-10-01T00:00:00,262,Central,Small Market,606,60,144,84,54,30,0,84,153,Leaves,Tea,Earl Grey,Wisconsin,40,50,0,90,Regular,0
2013-12-01T00:00:00,262,Central,Small Market,466,43,106,63,13,8,42,35,113,Leaves,Tea,Darjeeling,Wisconsin,30,50,20,80,Regular,22
2012-12-01T00:00:00,262,Central,Small Market,567,24,56,32,7,12,13,19,56,Beans,Espresso,Decaf Espresso,Wisconsin,30,40,30,70,Decaf,-17
2013-11-01T00:00:00,262,Central,Small Market,321,53,141,88,16,1,71,40,150,Leaves,Herbal Tea,Chamomile,Wisconsin,50,80,50,130,Decaf,21
2012-11-01T00:00:00,262,Central,Small Market,557,77,180,103,25,27,51,52,180,Beans,Coffee,Decaf Irish Cream,Wisconsin,70,100,60,170,Decaf,-9
2012-11-01T00:00:00,262,Central,Small Market,694,94,224,130,85,29,16,114,224,Beans,Coffee,Colombian,Wisconsin,90,130,30,220,Regular,-14
2013-10-01T00:00:00,262,Central,Small Market,1055,80,174,94,24,-1,71,46,185,Beans,Espresso,Caffe Mocha,Wisconsin,110,140,120,250,Regular,-49
2013-12-01T00:00:00,262,Central,Small Market,716,105,250,145,95,20,30,125,266,Beans,Coffee,Colombian,Wisconsin,100,140,30,240,Regular,0
2013-12-01T00:00:00,262,Central,Small Market,1079,80,176,96,24,-2,74,46,188,Beans,Espresso,Caffe Mocha,Wisconsin,100,120,80,220,Regular,-6
2013-10-01T00:00:00,281,South,Major Market,541,39,90,51,12,0,39,25,96,Beans,Coffee,Decaf Irish Cream,Texas,40,90,80,130,Decaf,-41
2012-10-01T00:00:00,303,Central,Major Market,503,51,122,71,46,30,-5,76,122,Leaves,Herbal Tea,Lemon,Colorado,30,60,30,90,Decaf,-35
2012-12-01T00:00:00,303,Central,Major Market,424,54,127,73,17,27,29,44,127,Leaves,Herbal Tea,Mint,Colorado,50,60,30,110,Decaf,-1
2012-10-01T00:00:00,303,Central,Major Market,404,54,120,66,20,33,13,53,120,Leaves,Tea,Darjeeling,Colorado,30,50,30,80,Regular,-17
2012-10-01T00:00:00,303,Central,Major Market,1037,54,118,64,16,21,27,37,118,Leaves,Tea,Earl Grey,Colorado,30,50,40,80,Regular,-13
2012-12-01T00:00:00,303,Central,Major Market,422,46,103,57,17,34,6,51,103,Leaves,Tea,Darjeeling,Colorado,30,50,10,80,Regular,-4
2012-12-01T00:00:00,303,Central,Major Market,1054,53,116,63,16,21,26,37,116,Leaves,Tea,Earl Grey,Colorado,40,50,20,90,Regular,6
2013-10-01T00:00:00,303,Central,Major Market,541,39,90,51,12,-1,40,24,96,Beans,Coffee,Colombian,Colorado,30,50,50,80,Regular,-10
2013-12-01T00:00:00,303,Central,Major Market,422,46,103,57,17,31,9,51,110,Leaves,Tea,Darjeeling,Colorado,30,50,10,80,Regular,-1
2012-11-01T00:00:00,303,Central,Major Market,509,52,125,73,47,30,-4,77,125,Leaves,Herbal Tea,Lemon,Colorado,40,70,10,110,Decaf,-14
2012-10-01T00:00:00,303,Central,Major Market,650,72,182,110,23,31,56,54,182,Beans,Espresso,Decaf Espresso,Colorado,100,160,130,260,Decaf,-74
2012-10-01T00:00:00,303,Central,Major Market,580,76,187,111,21,11,79,32,187,Beans,Espresso,Caffe Mocha,Colorado,100,180,170,280,Regular,-91
2012-11-01T00:00:00,303,Central,Major Market,659,75,189,114,24,32,58,56,189,Beans,Espresso,Decaf Espresso,Colorado,90,150,100,240,Decaf,-42
2012-11-01T00:00:00,303,Central,Major Market,589,50,123,73,14,11,48,25,123,Beans,Espresso,Caffe Mocha,Colorado,60,90,70,150,Regular,-22
2012-12-01T00:00:00,303,Central,Major Market,1319,153,306,153,42,24,87,66,306,Leaves,Herbal Tea,Chamomile,Colorado,140,140,80,280,Decaf,7
2013-11-01T00:00:00,303,Central,Major Market,589,50,123,73,14,-12,71,25,131,Beans,Espresso,Caffe Mocha,Colorado,60,90,70,150,Regular,1
2013-12-01T00:00:00,303,Central,Major Market,959,123,302,179,34,-54,199,45,322,Beans,Coffee,Amaretto,Colorado,120,170,130,290,Regular,69
2013-12-01T00:00:00,305,East,Major Market,403,65,145,80,24,22,34,57,155,Leaves,Herbal Tea,Lemon,Florida,40,60,20,100,Decaf,14
2012-10-01T00:00:00,305,East,Major Market,1055,80,174,94,24,22,48,46,174,Leaves,Herbal Tea,Mint,Florida,40,50,40,90,Decaf,8
2012-12-01T00:00:00,305,East,Major Market,716,105,250,145,95,29,21,124,250,Beans,Espresso,Caffe Mocha,Florida,100,140,30,240,Regular,-9
2013-12-01T00:00:00,305,East,Major Market,716,105,250,145,95,19,31,124,266,Beans,Espresso,Caffe Mocha,Florida,100,140,30,240,Regular,1
2012-12-01T00:00:00,309,Central,Major Market,601,54,133,79,15,11,53,26,133,Leaves,Tea,Darjeeling,Illinois,40,70,50,110,Regular,3
2012-12-01T00:00:00,309,Central,Major Market,959,123,302,179,34,12,133,46,302,Leaves,Herbal Tea,Chamomile,Illinois,110,170,130,280,Decaf,3
2013-11-01T00:00:00,309,Central,Major Market,659,75,189,114,24,2,88,55,201,Leaves,Tea,Earl Grey,Illinois,60,90,50,150,Regular,38
2013-11-01T00:00:00,312,Central,Major Market,536,40,92,52,13,-1,40,25,98,Leaves,Herbal Tea,Lemon,Illinois,30,50,30,80,Decaf,10
2013-12-01T00:00:00,312,Central,Major Market,531,43,99,56,14,-1,43,27,106,Leaves,Herbal Tea,Lemon,Illinois,40,50,30,90,Decaf,13
2013-10-01T00:00:00,312,Central,Major Market,541,39,90,51,12,-1,40,24,96,Leaves,Herbal Tea,Lemon,Illinois,20,40,40,60,Decaf,0
2012-10-01T00:00:00,312,Central,Major Market,1755,239,478,239,66,24,149,90,478,Beans,Espresso,Decaf Espresso,Illinois,340,370,300,710,Decaf,-151
2012-11-01T00:00:00,312,Central,Major Market,930,118,290,172,33,12,127,45,290,Leaves,Herbal Tea,Chamomile,Illinois,110,150,110,260,Decaf,17
2013-10-01T00:00:00,312,Central,Major Market,1662,257,598,341,84,-75,332,117,637,Beans,Espresso,Caffe Mocha,Illinois,370,520,420,890,Regular,-88
2013-12-01T00:00:00,312,Central,Major Market,830,127,312,185,40,-36,181,63,332,Beans,Coffee,Decaf Irish Cream,Illinois,120,180,130,300,Decaf,51
2013-12-01T00:00:00,312,Central,Major Market,1191,224,534,310,73,-51,288,116,569,Beans,Coffee,Colombian,Illinois,220,300,190,520,Regular,98
2013-12-01T00:00:00,312,Central,Major Market,1003,86,210,124,24,-31,131,36,224,Leaves,Herbal Tea,Mint,Illinois,80,110,80,190,Decaf,51
2012-11-01T00:00:00,314,Central,Small Market,836,33,81,48,9,12,27,21,81,Beans,Espresso,Decaf Espresso,Missouri,40,60,50,100,Decaf,-23
2012-12-01T00:00:00,314,Central,Small Market,844,31,77,46,8,11,27,19,77,Beans,Espresso,Decaf Espresso,Missouri,30,60,50,90,Decaf,-23
2013-12-01T00:00:00,314,Central,Small Market,335,49,118,69,44,32,-7,74,126,Leaves,Herbal Tea,Chamomile,Missouri,40,60,0,100,Decaf,-7
2013-11-01T00:00:00,314,Central,Small Market,325,44,106,62,40,34,-12,70,113,Leaves,Herbal Tea,Chamomile,Missouri,40,50,0,90,Decaf,-12
2012-11-01T00:00:00,314,Central,Small Market,243,33,74,41,12,33,-4,45,74,Leaves,Tea,Green Tea,Missouri,20,40,0,60,Regular,-4
2013-10-01T00:00:00,314,Central,Small Market,244,39,92,53,12,22,19,40,98,Leaves,Tea,Darjeeling,Missouri,20,40,30,60,Regular,-11
2013-11-01T00:00:00,314,Central,Small Market,1804,82,122,40,25,28,-13,49,130,Leaves,Herbal Tea,Lemon,Missouri,70,40,0,110,Decaf,-13
2013-11-01T00:00:00,314,Central,Small Market,243,33,74,41,12,35,-6,45,79,Leaves,Tea,Green Tea,Missouri,20,40,0,60,Regular,-6
2013-12-01T00:00:00,314,Central,Small Market,256,38,89,51,12,23,16,40,95,Leaves,Tea,Darjeeling,Missouri,30,40,10,70,Regular,6
2012-10-01T00:00:00,314,Central,Small Market,240,34,77,43,12,34,-3,46,77,Leaves,Tea,Green Tea,Missouri,10,30,10,40,Regular,-13
2013-10-01T00:00:00,314,Central,Small Market,240,34,77,43,12,35,-4,46,82,Leaves,Tea,Green Tea,Missouri,10,30,10,40,Regular,-14
2012-11-01T00:00:00,314,Central,Small Market,1060,69,150,81,21,22,38,43,150,Beans,Coffee,Decaf Irish Cream,Missouri,60,80,40,140,Decaf,-2
2012-10-01T00:00:00,314,Central,Small Market,881,40,99,59,11,12,36,23,99,Beans,Espresso,Caffe Mocha,Missouri,50,90,90,140,Regular,-54
2012-11-01T00:00:00,314,Central,Small Market,885,54,132,78,15,12,51,27,132,Beans,Espresso,Caffe Mocha,Missouri,60,100,80,160,Regular,-29
2012-12-01T00:00:00,314,Central,Small Market,898,50,123,73,14,11,48,25,123,Beans,Espresso,Caffe Mocha,Missouri,60,90,70,150,Regular,-22
2012-10-01T00:00:00,315,East,Major Market,2548,260,650,390,91,52,247,143,650,Beans,Coffee,Colombian,New York,210,330,230,540,Regular,17
2012-10-01T00:00:00,315,East,Major Market,4360,239,164,-75,74,21,-170,95,164,Leaves,Herbal Tea,Mint,New York,130,-50,-100,80,Decaf,-70
2012-11-01T00:00:00,315,East,Major Market,930,118,290,172,33,12,127,45,290,Leaves,Tea,Earl Grey,New York,120,170,130,290,Regular,-3
2013-12-01T00:00:00,315,East,Major Market,2642,279,699,420,97,-79,402,149,745,Beans,Coffee,Colombian,New York,250,370,250,620,Regular,152
2012-10-01T00:00:00,318,South,Small Market,-762,60,144,84,54,29,1,83,144,Beans,Espresso,Caffe Latte,Louisiana,30,60,10,90,Regular,-9
2013-11-01T00:00:00,318,South,Small Market,321,53,141,88,16,-1,73,39,150,Beans,Espresso,Caffe Mocha,Louisiana,40,60,30,100,Regular,43
2013-12-01T00:00:00,318,South,Small Market,466,43,106,63,13,10,40,36,113,Beans,Espresso,Decaf Espresso,Louisiana,30,50,20,80,Decaf,20
2012-10-01T00:00:00,318,South,Small Market,449,46,113,67,14,23,30,37,113,Beans,Espresso,Decaf Espresso,Louisiana,20,40,40,60,Decaf,-10
2013-10-01T00:00:00,318,South,Small Market,449,46,113,67,14,8,45,37,120,Beans,Espresso,Decaf Espresso,Louisiana,20,40,40,60,Decaf,5
2013-11-01T00:00:00,318,South,Small Market,-906,61,147,86,55,30,1,85,157,Beans,Espresso,Caffe Latte,Louisiana,40,70,10,110,Regular,-9
2013-11-01T00:00:00,318,South,Small Market,834,47,115,68,13,-10,65,24,123,Beans,Coffee,Colombian,Louisiana,50,80,60,130,Regular,5
2013-12-01T00:00:00,318,South,Small Market,619,68,153,85,25,21,39,59,163,Leaves,Herbal Tea,Lemon,Louisiana,60,80,30,140,Decaf,9
2012-12-01T00:00:00,318,South,Small Market,845,49,120,71,13,12,46,25,120,Beans,Coffee,Colombian,Louisiana,50,90,70,140,Regular,-24
2013-10-01T00:00:00,318,South,Small Market,564,103,236,133,33,-29,129,46,251,Leaves,Herbal Tea,Chamomile,Louisiana,80,130,110,210,Decaf,19
2012-10-01T00:00:00,319,Central,Small Market,800,23,58,35,6,11,18,17,58,Beans,Espresso,Caffe Mocha,Iowa,20,50,50,70,Regular,-32
2012-11-01T00:00:00,319,Central,Small Market,1784,245,545,300,93,34,173,127,545,Leaves,Tea,Earl Grey,Iowa,200,250,130,450,Regular,43
2012-12-01T00:00:00,319,Central,Small Market,594,10,24,14,3,12,-1,15,24,Beans,Coffee,Decaf Irish Cream,Iowa,0,20,10,20,Decaf,-11
2012-12-01T00:00:00,319,Central,Small Market,830,127,312,185,40,22,123,62,312,Leaves,Herbal Tea,Lemon,Iowa,120,170,120,290,Decaf,3
