Program Health,PROGRAM CODE,PROGRAM NAME,has capstone,has co-op,has shadowing,has placement,has simulation,Latitude,Longitude,"22F
# of Students Placed",Mode of Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,3,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,2,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,2,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,2,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,4,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,T993,Animation 2D/3D,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,Architectural Technnology,Architectural Technnology,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,Architectural Technnology,Architectural Technnology,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,Architectural Technology/Construction Project Management,Architectural Technnology,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,Architectural Technology/Construction Project Management,Architectural Technnology,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,Architectural Technology/Construction Project Management,Architectural Technnology,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Average,Architectural Technology/Construction Project Management,Architectural Technology/Construction Project Management,0.0,0.0,0.0,0.0,0.0,,,0,Coordinator Contacts
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,"42.3128744,-83.0227304",,2,Placement
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,"42.5962841,-82.3862102",,2,Placement
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,"42.2934921,-82.8797089",,0,Placement
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,"42.285048,-83.0506616",,4,Placement
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B935,Autism & Behavioural Science,0.0,0.0,0.0,0.0,0.0,"42.2883442,-83.0697138",,0,Placement
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B101,Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B228/K238/M228,OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B395,CULINARY MANAGEMENT/ 415A- COOK APPRENTICE BRANCH 2,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B395,CULINARY MANAGEMENT/ 415A- COOK APPRENTICE BRANCH 2,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B395,CULINARY MANAGEMENT/ 415A- COOK APPRENTICE BRANCH 2,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B395,CULINARY MANAGEMENT/ 415A- COOK APPRENTICE BRANCH 2,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B395,CULINARY MANAGEMENT/ 415A- COOK APPRENTICE BRANCH 2,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B802/M802 ,HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B819,"B819- POLICE FOUNDATIONS / B803-PROTECTION, SECURITY AND INVESTIGATION",0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B819,"B819- POLICE FOUNDATIONS / B803-PROTECTION, SECURITY AND INVESTIGATION",0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B819,"B819- POLICE FOUNDATIONS / B803-PROTECTION, SECURITY AND INVESTIGATION",0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B819,"B819- POLICE FOUNDATIONS / B803-PROTECTION, SECURITY AND INVESTIGATION",0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B851,B851 - BUSINESS ADMINISTRATION - FINANCE,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B851,B851 - BUSINESS ADMINISTRATION - FINANCE,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B851,B851 - BUSINESS ADMINISTRATION - FINANCE,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B851,B851 - BUSINESS ADMINISTRATION - FINANCE,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,B851,B851 - BUSINESS ADMINISTRATION - FINANCE,0.0,0.0,0.0,0.0,0.0,,,0,PAC
