PROGRAM NAME,PROGRAM CODE,PROGRAM CODE 2 ,PROGRAM CODE 3,COURSE CODE,COURSE CODE 2,COURSE CODE3,COURSE CODE 4,Work integrated learning type,WIL TYPE 2,WIL TYPE 3,WIL TYPE 4,,Primary Key,designation,Contact Name,Address,City,Postal Code,Paid/Unpaid,"22F
# of Students Placed","23W
# of Students Placed",PAC/PLACE/CAREER
International Business Management - Logistics Systems,B999,,,,,,,,,,,Duplicate, ,,Fahed,,,,,,,PAC
Brick and Stone Mason,401A,,,,,,,,,,,,d69c3d1b-4960-4b2c-b4b0-0f068d659106,,Tom,,,,,,,PAC
Electronics Engineering Technology - Industrial Automation,T929,,,,,,,,,,,,54e12d82-f6e2-431b-96e7-7fcb1ae3243f,,Mohamad,,,,,,,PAC
T805- WOODWORKING/ T964-CARPENTRY TECHNIQUES / 403A- GENERAL CARPENTRY,,,,,,,,,,,,Duplicate,f785d361-eaa9-40c7-a13d-aaec6728a141,,"Cyril ""Butch""",,,,,,,PAC
Mobile Applications Development,B990,,,,,,,,,,,,6e0ecb38-d2e9-460c-ad6e-b3f3ba6a5f60,,Evan,,,,,,,PAC
Sport & Recreation Management,B904,,,,,,,,,,,Duplicate,42c5df7c-ef7a-4f31-987f-959053ba8fa0,,Erin,,,,,,,PAC
Sport & Recreation Management,B904,,,,,,,,,,,,43d5e0a0-801d-4015-8110-3f9593d5ed29,,Schadrac,,,,,,,PAC
B101- Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT ,,,,,,,,,,,,,dde2d021-34e5-44e9-8cef-50dbd22af458,,Laura,,,,,,,PAC
Mobile Applications Development,B990,,,,,,,,,,,Duplicate,5c971365-78c1-4c6d-af49-8368534a7476,,Jonny,,,,,,,PAC
Biomedical Engineering Technology - Equipment and Devices,T755,,,,,,,,,,,,0150276b-2633-4501-ae72-f8f3be50c791,,Kathleen,,,,,,,PAC
Biomedical Engineering Technology - Equipment and Devices,T755,,,,,,,,,,,,701b2c5e-9e45-40a3-a75f-ca13f44da131,,Paul,,,,,,,PAC
Journalism / Media Convergance,B894,B882,,,,,,,,,,,b6826e2c-c5ab-4b33-970f-d566c8b9c414,,Bob ,,,,,,,PAC
Powerline Technician ,K766,,,,,,,,,,,,1ea63391-b2a3-4dce-a491-ab6e1871a0e2,,Michael ,,,,,,,PAC
Journalism / Media Convergance,B894,B882,,,,,,,,,,,45cd7594-2ca7-40fe-a381-87bb4fb399b2,,Bob ,,,,,,,PAC
Chemical Laboratory Technology,T836,,,,,,,,,,,Duplicate,e1c61b89-793d-46ec-8ff5-c373198ecdbb,,Joe,,,,,,,PAC
T923 - PRECISION METAL CUTTING (EARN WHILE YOU LEARN),T923,,,,,,,,,,,,acfb9eac-b1ad-4690-ad5d-dd6c4632eadd,,Brian,,,,,,,PAC
B802/M802 - HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,,,,,,,,,,,,,7a37e74a-6437-42d3-80d6-6b58ba7987f6,,Carol,,,,,,,PAC
Landscape Horticulture,T866,,,,,,,,,,,Duplicate,8f571287-2ba4-4161-acfe-b570f309ac91,,John,,,,,,,PAC
Paramedic ,H840,K940,,,,,,,,,,,0fcf8206-2dd3-4eb2-8485-046344361ae5,,Josh,,,,,,,PAC
Mechanical Engineering Technology - Automotive Product Design,T826,,,,,,,,,,,Duplicate,8847091a-c6d3-4965-ad68-fe51ed55c264,,Guido ,,,,,,,PAC
International Business Management - Logistics Systems,B999,,,,,,,,,,,Duplicate,b5fe8d3b-aee9-42f7-ae54-62a20068e4aa,,Jeremy,,,,,,,PAC
International Business Management - Logistics Systems,B999,,,,,,,,,,,,6351f969-e50f-4003-9304-05eb15536313,,Peter,,,,,,,PAC
Border Services ,B961,,,,,,,,,,,Duplicate,ced1f631-fc42-4d0d-a368-46b86f6c8245,,Stuart,,,,,,,PAC
Pharmacy Technician ,H812,,,,,,,,,,,Duplicate,94f69620-97d2-41c7-ba72-8a772277d2dd,,Diego ,,,,,,,PAC
Tourism - Travel,B826,,,,,,,,,,,Duplicate,fc4e7380-1bc1-43f7-8532-5330c5894968,,Ashley,,,,,,,PAC
Interior Design  ,T146,,,,,,,,,,,Duplicate,5cca5dae-31f4-428f-9459-94b0690b7cb0,,Laura,,,,,,,PAC
T805- WOODWORKING/ T964-CARPENTRY TECHNIQUES / 403A- GENERAL CARPENTRY,,,,,,,,,,,,,6c272fa4-8303-49c4-bd0c-a3376510a26c,,Chris ,,,,,,,PAC
T805- WOODWORKING/ T964-CARPENTRY TECHNIQUES / 403A- GENERAL CARPENTRY,,,,,,,,,,,,Duplicate,6c272fa4-8303-49c4-bd0c-a3376510a26c,,Charlotte,,,,,,,PAC
Public Relations,B791,,,,,,,,,,,Duplicate,e87a212f-1495-45ef-a045-7be4aeedb379,,Kevin,,,,,,,PAC
Electronics Engineering Technology - Industrial Automation,T929,,,,,,,,,,,,232f4447-edee-4e19-89ed-0eff8e7e4d76,,Vern,,,,,,,PAC
Music Theatre,A887,,,,,,,,,,,,52d74a0f-dd88-4e46-9625-a0ad6b389af4,,Valerie,,,,,,,PAC
Architectural Technnology ,T020,,,,,,,,,,,Duplicate,94cd643f-8e99-4140-aa06-18014f09c059,,James,,,,,,,PAC
Pre-Service Firefighter Education and Training,T876,,,,,,,,,,,,ff1b3dbe-b87b-4215-88b9-f75f296f2efd,,Wade,,,,,,,PAC
B101- Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT ,,,,,,,,,,,,Duplicate,6b6352c1-5fae-4c5a-a2ef-92140ec7ebb2,,Dawn,,,,,,,PAC
Dental Hygiene / Dental Assisting Level I and II,H800,H915,,,,,,,,,,Duplicate,f8a9c3f5-a32e-4c32-8d0e-ea5892708160,,Lindsay,,,,,,,PAC
Paramedic ,H840,K940,,,,,,,,,,,274335d0-12d2-421f-881e-56c1a305cf70,,Paul,,,,,,,PAC
Pharmacy Technician ,H812,,,,,,,,,,,Duplicate,a946a833-c14c-47a9-8ddc-3035580957e9,,Tim,,,,,,,PAC
Business Administration - Marketing / Business Marketing,B009,B012,,,,,,,,,,,61f41a28-1586-4097-80eb-62fc0e213e92,,Samantha,,,,,,,PAC
"Heating, Refrigeration & Air Conditioning Technician",T207,,,,,,,,,,,,45356d2a-55cb-43a5-8c87-7e68ec06e46a,,Chuck,,,,,,,PAC
Dental Hygiene / Dental Assisting Level I and II,H800,H915,,,,,,,,,,Duplicate,,,Donna,,,,,,,PAC
Respiratory Therapy,H795,,,,,,,,,,,Duplicate,94f69620-97d2-41c7-ba72-8a772277d2dd,,Daniel,,,,,,,PAC
Honours Bachelor of Applied Arts in Social Justice & Legal Studies,C999,,,,,,,,,,,Duplicate,96e2ca90-769e-4e7a-be77-4110676f55f0,,Catherine,,,,,,,PAC
Cardiovascular Technology,H794,,,,,,,,,,,Duplicate,3a2a08f0-5b64-4d43-81f6-403f433afc97,,Monica,,,,,,,PAC
Hospitality - Hotel & Restaurant,B940,,,,,,,,,,,Duplicate,3da4cb8e-4a3a-49cf-9e75-eccb1fda2a6a,,Cody ,,,,,,,PAC
Powerline Technician ,K766,,,,,,,,,,,Duplicate,efbc917b-162f-4e27-81cd-b460a59f1e00,,Greg ,,,,,,,PAC
Journalism / Media Convergance,B894,B882,,,,,,,,,,,96cc9710-26c8-43a6-9bcf-1c2c131b7893,,Tyler,,,,,,,PAC
Veterinary Technician ,H258,,,,,,,,,,,Duplicate,72e89a13-cb90-4e32-8197-9f164d7ef50d,,Shannon,,,,,,,PAC
Business,B604,,,,,,,,,,,,3bcd55fb-ecac-4295-aeac-ead0bfe8950d,,Emma,,,,,,,PAC
,,,,,,,,,,,,,bd41d7a0-90c3-4853-85e5-9137cfe297ab,,Kelly-Ann,,,,,,,PAC
B875 - ADVERTISING AND MARKETING COMMUNICATION MANAGEMENT/ B792 - WEB AND INTERACTIVE ADVERTISING,,,,,,,,,,,,Duplicate,,,Alan,,,,,,,PAC
Public Relations,B791,,,,,,,,,,,Duplicate,919ddac8-e682-4084-b47f-5f70497bfba4,,Mark,,,,,,,PAC
Advanced Medical Esthetics Practitioner,H912,,,,,,,,,,,,6d2a2684-4b89-468a-89a6-3cae04042fe5,,Antonella,,,,,,,PAC
Child and Youth Care / Child and Youth Care - Accelerated,B992,K994,,,,,,,,,,,21de0fe8-cde3-4a0e-b9a2-3ce2c5c6b82d,,Tammy,,,,,,,PAC
Academic and Career Entrance (Chatham),K972,,,,,,,,,,,Duplicate,3d0d1e6f-ebfa-4c32-9d24-638377d5c325,,Tracy,,,,,,,PAC
Veterinary Technician ,H258,,,,,,,,,,,,3a14ca32-2c0f-41d0-9ac4-2afaecee91c4,,Tracy,,,,,,,PAC
T958/T167- TRUCK AND COACH TECHNIQUES/MOTIVE POWER /310S/310T-AUTO SERVICE TECHNCIAN/TRUCK AND COACH TECHNICIAN,,,,,,,,,,,,,1b5822dc-55dd-4a24-b45a-7d16e5fabd59,,John,,,,,,,PAC
T958/T167- TRUCK AND COACH TECHNIQUES/MOTIVE POWER /310S/310T-AUTO SERVICE TECHNCIAN/TRUCK AND COACH TECHNICIAN,,,,,,,,,,,,Duplicate,1b5822dc-55dd-4a24-b45a-7d16e5fabd59,,Joe ,,,,,,,PAC
Event Management ,B908,,,,,,,,,,,Duplicate,9a23d82f-d90f-4b5e-b229-35b237850de1,,Nancy,,,,,,,PAC
Esports Administration and Entrepreneurship,B906,,,,,,,,,,,,cb3dd5a1-1106-4cc9-b741-66e6138a4394,,Mark,,,,,,,PAC
Electrical Techniques (both),T974,K731,,,,,,,,,,,23de1f3d-6837-4009-bd15-277871fb8ee5,,Dan ,,,,,,,PAC
K950/K963 - COLLABORATIVE NURSING/PRACTICAL NURSING/ K933- PSW,,,,,,,,,,,,,14f51983-4738-4f15-bb91-b69c317d170f,,Heather,,,,,,,PAC
Cardiovascular Technology ,H794,,,,,,,,,,,Duplicate,0f9f64ce-3ae8-4bad-a668-8a16671b6d65,,Nicole,,,,,,,PAC
Tourism - Travel,B826,,,,,,,,,,,Duplicate,fc4e7380-1bc1-43f7-8532-5330c5894968,,Erin,,,,,,,PAC
B875 - ADVERTISING AND MARKETING COMMUNICATION MANAGEMENT/ B792 - WEB AND INTERACTIVE ADVERTISING,,,,,,,,,,,,Duplicate,50a8362b-c911-44cc-a394-e4bb6baf3c94,,Shane,,,,,,,PAC
Computer Systems Technician/Technology - Networking,T860,T861,,,,,,,,,,Duplicate,499c8240-ee9a-4658-bd56-3dd3342cf19f,,Jeff,,,,,,,PAC
Dental Hygiene / Dental Assisting Level I and II,H800,H915,,,,,,,,,,Duplicate,6c5e5ad4-c44e-4934-b29f-620601751e14,,Kim,,,,,,,PAC
Tourism - Travel,B826,,,,,,,,,,,,af477b68-2fdf-4b5e-b63b-23d6796bb059,,Cristina,,,,,,,PAC
Power Engineering ,T941,T942,T940,,,,,,,,,,7a3122a4-3394-47f1-8fd9-a0b3e1f17921,,Tom ,,,,,,,PAC
Business,B604,,,,,,,,,,,,9bb791d3-1219-4604-bfd1-25e9993e8687,,Adam,,,,,,,PAC
Medical Laboratory Science / Medical Laboratory Technician,H837,H299,,,,,,,,,,,93dcc4af-bede-44f3-a923-6406a96ba33c,,Ada ,,,,,,,PAC
Powerline Technician ,K766,,,,,,,,,,,,be00e257-ff01-4f58-b52f-844248e183a1,,Brandon ,,,,,,,PAC
Fashion Design Technician,B877,,,,,,,,,,,Duplicate,c09c3912-ac49-47dd-89aa-bbffb01ee0b8,,Jill ,,,,,,,PAC
T805- WOODWORKING/ T964-CARPENTRY TECHNIQUES / 403A- GENERAL CARPENTRY,,,,,,,,,,,,Duplicate,57752e49-6f62-4e66-8968-1485122d60d8,,Mark,,,,,,,PAC
Pre-Service Firefighter Education and Training,T876,,,,,,,,,,,,a47bccbe-7e5a-4747-8a5b-ea7365523361,,Mike,,,,,,,PAC
B395- CULINARY MANAGEMENT/ 415A- COOK APPRENTICE BRANCH 2,,,,,,,,,,,,,572c61b3-fd6a-45e8-82ca-9a2a812f2191,,Adriano,,,,,,,PAC
Computer Systems Technician/Technology - Networking,T860,T861,,,,,,,,,,,be46f252-045e-4561-b862-20e6584b25f6,,Dan,,,,,,,PAC
Chemical Laboratory Technology,T836,,,,,,,,,,,,6b6352c1-5fae-4c5a-a2ef-92140ec7ebb2,,Justine,,,,,,,PAC
Community Integration through Cooperative Education,C365,,,,,,,,,,,Duplicate,9254caa4-0f6b-4f16-9f93-2bcdb78cba77,,Terry,,,,,,,PAC
Cardiovascular Technology ,H794,,,,,,,,,,,Duplicate,f300c1ca-520c-4c95-85e7-ae04ddc90d4a,,Emily,,,,,,,PAC
B228/K238/M228- OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,,,,,,,,,,,,,0f9f64ce-3ae8-4bad-a668-8a16671b6d65,,Barbara,,,,,,,PAC
"Heating, Refrigeration & Air Conditioning Technician",T207,,,,,,,,,,,Duplicate,852a8b02-01bf-4405-9b01-3380354754c3,,Ben,,,,,,,PAC
Mobile Applications Development,B990,,,,,,,,,,,,55685f58-fd20-4c7a-9031-ac9cdd3fa973,,William,,,,,,,PAC
Autism & Behavioural Science,B935,,,,,,,,,,,,b4dd8763-1554-4c68-88b5-2a8e9d9bb82c,,Livia,,,,,,,PAC
Plumbing Techniques/Plumbing Apprenticeship,T954,,,,,,,,,,,,a351a570-f1a8-4b44-8ac0-9b7e5c6025c6,,Andrew,,,,,,,PAC
Esthetician,B912,,,,,,,,,,,,f227b784-1a04-4f81-9bca-cda11ddc2234,,Ashley,,,,,,,PAC
Early Childhood Education,K240,,,,,,,,,,,,bda9c80a-b0cf-4fcd-928f-d5d05f10a6ea,,Brenda,,,,,,,PAC
B228/K238/M228- OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,,,,,,,,,,,,,beecdcfe-c724-4f82-8b62-73ce0a8cdd64,,Penny,,,,,,,PAC
Pharmacy Technician ,H812,,,,,,,,,,,,94f69620-97d2-41c7-ba72-8a772277d2dd,,Ashley ,,,,,,,PAC
Landscape Horticulture,T866,,,,,,,,,,,Duplicate,83749617-522d-49b1-ae78-661d2a9daf5c,,Sal ,,,,,,,PAC
Interior Design  ,T146,,,,,,,,,,,Duplicate,a89d057b-ea00-4d68-a6fa-801e767ae16c,,Amanda,,,,,,,PAC
Power Engineering ,T941,T942,T940,,,,,,,,,Duplicate,cdc39330-eeec-4b06-8bb5-a9501006a38f,,Jeff ,,,,,,,PAC
Computer Systems Technician/Technology - Networking,T860,T861,,,,,,,,,,Duplicate,7721b422-da91-47ee-a789-47c7025b17cf,,Dean,,,,,,,PAC
Fitness & Health Promotion,H879,,,,,,,,,,,Duplicate,c09c3912-ac49-47dd-89aa-bbffb01ee0b8,,Carol  ,,,,,,,PAC
Event Management ,B908,,,,,,,,,,,Duplicate,936e3044-28e9-4dfc-ad6c-1bf06674412f,,Katricia ,,,,,,,PAC
Business Administration - Marketing / Business Marketing,B009,B012,,,,,,,,,,Duplicate,ab3ccc4c-a753-4a9e-80e5-97be7c858d13,,Debi,,,,,,,PAC
Graphic Design,T809,,,,,,,,,,,,a78b50cb-04b5-47f0-ae40-b4fdcf7c690c,,Alan,,,,,,,PAC
Border Services ,B961,,,,,,,,,,,Duplicate,6d9d04d0-68f8-4f8b-a722-5aba2c02f70d,,Tom,,,,,,,PAC
Public Relations,B791,,,,,,,,,,,Duplicate,a096ad46-9f66-46db-8ded-3f13b4c65166,,Nicole,,,,,,,PAC
Academic and Career Entrance / College and Employment Preperation,C772,,,,,,,,,,,,2eca2904-1725-41e3-887f-656517e80b56,,Nadine,,,,,,,PAC
Child and Youth Care / Child and Youth Care - Accelerated,B992,K994,,,,,,,,,,Duplicate,cbe67aa0-335d-445e-bcbd-a9f898b8960a,,Rose,,,,,,,PAC
Business Administration - Accounting / Business - Accounting,B007,B010,K150,,,,,,,,,,3f42db51-7f7a-4817-af3e-c8a745e69a01,,Brian ,,,,,,,PAC
Hospitality - Hotel & Restaurant,B940,,,,,,,,,,,,8f51e7a9-9142-4c20-a0a8-5edaa7eca1ab,,Tal,,,,,,,PAC
Academic and Career Entrance / College and Employment Preperation,C772,,,,,,,,,,,,30255555-25e1-453d-b717-213e2b1633e7,,Andrew,,,,,,,PAC
Data Analytics for Business,B018,,,,,,,,,,,Duplicate,8a540020-1223-4481-aaa9-0b038caf9388,,Laura,,,,,,,PAC
Data Analytics for Business,B018,,,,,,,,,,,Duplicate,60db3882-54d4-4873-8d88-9c89eec2459a,,Sara ,,,,,,,PAC
Diagnostic Medical Sonography ,H796,,,,,,,,,,,,94f69620-97d2-41c7-ba72-8a772277d2dd,,Janine,,,,,,,PAC
B875 - ADVERTISING AND MARKETING COMMUNICATION MANAGEMENT/ B792 - WEB AND INTERACTIVE ADVERTISING,,,,,,,,,,,,Duplicate,50a8362b-c911-44cc-a394-e4bb6baf3c94,,Stephanie,,,,,,,PAC
Welding Techniques,T949,,,,,,,,,,,Duplicate,846c7bb0-7f77-4f63-971f-0456584f343c,,Thomas,,,,,,,PAC
Academic and Career Entrance (Chatham),K972,,,,,,,,,,,Duplicate,c533b48f-578b-4eb2-ad5d-645b3a6d401b,,Trish,,,,,,,PAC
Electronics Engineering Technology - Industrial Automation,T929,,,,,,,,,,,Duplicate,1d35e78a-070a-4d33-b86f-e8f954b19f99,,Paul,,,,,,,PAC
"B819- POLICE FOUNDATIONS / B803-PROTECTION, SECURITY AND INVESTIGATION",,,,,,,,,,,,Duplicate,28c19861-0993-4316-b735-77d1d5da5b51,,Donald,,,,,,,PAC
Event Management ,B908,,,,,,,,,,,,ce19a1ce-8095-4032-95da-9ebe186a4014,,Amber ,,,,,,,PAC
Community & Justice Services,B603,,,,,,,,,,,,6577fc46-46a4-41d1-9aec-fb5748f662e8,,David,,,,,,,PAC
Electronics Engineering Technology - Industrial Automation,T929,,,,,,,,,,,,1d35e78a-070a-4d33-b86f-e8f954b19f99,,Dan,,,,,,,PAC
Pharmacy Technician ,H812,,,,,,,,,,,Duplicate,7d54d311-8ce6-4022-acbe-b8b0f9131dee,,Sebastiano,,,,,,,PAC
Academic and Career Entrance (Chatham),K972,,,,,,,,,,,Duplicate,404785ab-e7d7-4076-ad9e-0b2d13fb9925,,Andrea,,,,,,,PAC
Border Services ,B961,,,,,,,,,,,Duplicate,d83eb657-ae7f-4e99-866b-ae8670e4ca25,,Timothy,,,,,,,PAC
Dental Hygiene / Dental Assisting Level I and II,H800,H915,,,,,,,,,,Duplicate,58e5cb1c-c703-43e3-9c84-d7119021d6d2,,Brenda,,,,,,,PAC
Interior Design  ,T146,,,,,,,,,,,,ad6b8148-6db5-406c-9b36-61251e8d9598,,Shannon,,,,,,,PAC
Fitness & Health Promotion,H879,,,,,,,,,,,,9a6b8086-8b23-4655-bb4a-c180271429b8,,Claudio  ,,,,,,,PAC
B228/K238/M228- OFFICE ADMINISTRATION - HEALTH SERVICES - FAST TRACK/ B226/K231- OAE  - FAST TRACK/  B226- OAG,,,,,,,,,,,,Duplicate,6b6352c1-5fae-4c5a-a2ef-92140ec7ebb2,,Ashley,,,,,,,PAC
Animation 2D/3D,T993,,,,,,,,,,,Duplicate,4d69e23c-466b-4362-af16-93e2ee4157e5,,Tracie,,,,,,,PAC
Business,B604,,,,,,,,,,,,1dad04b1-2720-457a-9680-d7633e76ca94,,Evona ,,,,,,,PAC
Biomedical Engineering Technology - Equipment and Devices,T755,,,,,,,,,,,Duplicate,a0d9c484-dc71-4137-8094-170a6c4dcef7,,Derek,,,,,,,PAC
Computer Systems Technician/Technology - Networking,T860,T861,,,,,,,,,,,4058dfae-8918-4e28-a67f-cb8e55bb063b,,Cameron,,,,,,,PAC
Animation 2D/3D,T993,,,,,,,,,,,,e29878fc-a72e-4ba7-96fc-2f58240ab68f,,Alec,,,,,,,PAC
Esports Administration and Entrepreneurship,B906,,,,,,,,,,,,ff226611-aef2-422b-a618-d85a069f7de1,,Neil,,,,,,,PAC
Mobile Applications Development,B990,,,,,,,,,,,,a2a05dfa-20d7-4215-afe2-c69334b0dee9,,Jonathan ,,,,,,,PAC
Community Integration through Cooperative Education,C365,,,,,,,,,,,,bd41d7a0-90c3-4853-85e5-9137cfe297ab,,Monique,,,,,,,PAC
K950/K963 - COLLABORATIVE NURSING/PRACTICAL NURSING/ K933- PSW,,,,,,,,,,,,Duplicate,e035b6b5-f368-49d9-85ed-6eb70013e3f1,,Patricia,,,,,,,PAC
Veterinary Technician ,H258,,,,,,,,,,,,272e8fe8-6181-47f1-9c53-46f00ad08213,,Nicole,,,,,,,PAC
Tourism - Travel,B826,,,,,,,,,,,,0e94a13b-1c93-4372-9f86-baf4f8eff25e,,Alexa  ,,,,,,,PAC
Business Administration - Marketing / Business Marketing,B009,B012,,,,,,,,,,,,,Ashley,,,,,,,PAC
Computer Systems Technician/Technology - Networking,T860,T861,,,,,,,,,,Duplicate,ae962900-be88-4b9a-adeb-f6172ae52ecf,,Jim,,,,,,,PAC
B101- Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT ,,,,,,,,,,,,,4c9c2221-67b6-4d7c-baa7-1ffc51952826,,Bernadette,,,,,,,PAC
Developmental Services Worker / Developmental Services Worker - Accelerated,K200,K824,,,,,,,,,,,9254caa4-0f6b-4f16-9f93-2bcdb78cba77,,Jessica ,,,,,,,PAC
Dental Hygiene / Dental Assisting Level I and II,H800,H915,,,,,,,,,,Duplicate,6ec6603c-37a0-4a40-8452-0428e82e6464,,Karen,,,,,,,PAC
Developmental Services Worker / Developmental Services Worker - Accelerated,K200,K824,,,,,,,,,,Duplicate,4a7ab7cb-4269-4ed5-aee4-a92294482a1f,,Doug ,,,,,,,PAC
Powerline Technician ,K766,,,,,,,,,,,,a7cc8604-c82a-4a7c-8ba8-c953e8af4b23,,Dave ,,,,,,,PAC
Event Management ,B908,,,,,,,,,,,,779f4ea5-79a0-4a9a-9c45-50918402b749,,Aubyn,,,,,,,PAC
Plumbing Techniques/Plumbing Apprenticeship,T954,,,,,,,,,,,,12e24e97-87eb-431d-87dd-636cc7f891f9,,Brad,,,,,,,PAC
Architectural Technnology ,T020,,,,,,,,,,,,a932b676-dbe2-4b20-9b48-df8b26046135,,Amy,,,,,,,PAC
B101- Early Childhood Education  / B820-Early Childhood Education - ACCELERATED / B846-Early Childhood Education - CONCURRENT ,,,,,,,,,,,,Duplicate,bd41d7a0-90c3-4853-85e5-9137cfe297ab,,Melissa,,,,,,,PAC
Developmental Services Worker / Developmental Services Worker - Accelerated,K200,K824,,,,,,,,,,Duplicate,929fb7ec-2b43-47d8-9b66-d294e2052b67,,Dan,,,,,,,PAC
Border Services ,B961,,,,,,,,,,,Duplicate,6d9d04d0-68f8-4f8b-a722-5aba2c02f70d,,Brooke,,,,,,,PAC
Electromechanical Engineering Technology/Technician - Robotics ,T974,T976,,,,,,,,,,Duplicate,f0de5438-cbb4-42df-8fb3-983b12e06ae3,,Shelley ,,,,,,,PAC
Music Theatre,A887,,,,,,,,,,,,ad861db1-c0f0-4e24-a546-de4396a1a994,,Susan,,,,,,,PAC
Web Development and Internet Applications,B950,,,,,,,,,,,,499c8240-ee9a-4658-bd56-3dd3342cf19f,,Peter,,,,,,,PAC
Veterinary Technician ,H258,,,,,,,,,,,Duplicate,3518a7b6-12c1-4333-b299-55599fb92985,,Brittany,,,,,,,PAC
T958/T167- TRUCK AND COACH TECHNIQUES/MOTIVE POWER /310S/310T-AUTO SERVICE TECHNCIAN/TRUCK AND COACH TECHNICIAN,,,,,,,,,,,,Duplicate,dde2d021-34e5-44e9-8cef-50dbd22af458,,William,,,,,,,PAC
Public Relations,B791,,,,,,,,,,,Duplicate,bd41d7a0-90c3-4853-85e5-9137cfe297ab,,Stephen,,,,,,,PAC
B802/M802 - HUMAN RESOURCES MANAGEMENT / B880 - BUS ADMIN - HUMAN RESOURCES,,,,,,,,,,,,Duplicate,e03daed6-da53-4228-a275-18af28e2f2e7,,Gary,,,,,,,PAC
